Date,Weight,Fat
"29-12-2021","92,71","22,59"
"15-12-2021","90,09","20,94"
"13-12-2021","91,31","21,35"
"07-12-2021","91,04","20,96"
"19-11-2021","90,99","20,54"
"19-11-2021","91,24","21"
"05-11-2021","92,75","21,36"
"02-11-2021","91,03","19,57"
"30-10-2021","91,78","22,03"
"25-10-2021","92,1","21,47"
"24-10-2021","91,76","20,79"
"23-10-2021","91,68","20,87"
"22-10-2021","91,95","20,74"
"21-10-2021","92,22","20,75"
"19-10-2021","91,92","20,72"
"13-09-2021","91,17","21,25"
"30-08-2021","91,78","21,26"
"30-08-2021","92,18","21,42"
"19-08-2021","91,18","21,22"
"10-08-2021","91,55","21,68"
"29-07-2021","90,91","20,04"
"27-07-2021","90,86","19,64"
"23-07-2021","91,65","20,5"
"21-07-2021","91,7","21,37"
"12-07-2021","91,11","21,15"
"29-06-2021","90,15","19,47"
"26-06-2021","91,25","21,15"
"11-06-2021","90,99","20,09"
"11-06-2021","91,37","20,19"
"04-06-2021","90,56","19,45"
"31-05-2021","90,63","20,71"
"27-05-2021","89,09","20,47"
"21-05-2021","89,44","20,1"
"11-05-2021","90,7","20,18"
"09-05-2021","90,1","20,26"
"04-05-2021","90,04","19,46"
"29-04-2021","89,33","19,28"
"27-04-2021","88,73","20,06"
"23-04-2021","88,99","19,84"
"20-04-2021","88,73","19,1"
"14-04-2021","89,07","19,94"
"11-04-2021","88,41","20,06"
"08-04-2021","88,27","20,2"
"06-04-2021","88,77","19,75"
"02-04-2021","87,78","19,45"
"31-03-2021","88,67","18,84"
"29-03-2021","88,06","19,87"
"26-03-2021","88,83","19,04"
"23-03-2021","88,54","19,44"
"16-03-2021","88,83","19,07"
"14-03-2021","87,94","19,24"
"08-03-2021","88,67","19,75"
"03-03-2021","88,12","19,37"
"02-03-2021","87,99","19,81"
"25-02-2021","87,84","18,35"
"21-02-2021","88,29","19,21"
"18-02-2021","87,42","18,29"
"16-02-2021","86,91","19,2"
"14-02-2021","88","19,68"
"13-02-2021","87,77","19,22"
"09-02-2021","87,68","19,31"
"05-02-2021","88,1","18,98"
"04-02-2021","87,26","19,51"
"31-01-2021","87,92","19,82"
"30-01-2021","87,66","19,82"
"29-01-2021","87,62","19,46"
"26-01-2021","87,26","19,34"
"25-01-2021","88,72","20,11"
"24-01-2021","89,02","19,5"
"23-01-2021","88,34","19,24"
"21-01-2021","87,98","18,73"
"19-01-2021","87,5","19,06"
"17-01-2021","87,07","19,6"
"15-01-2021","87,63","19,03"
"14-01-2021","87,49","18,89"
"13-01-2021","87,92","19,21"
"12-01-2021","87,55","18,61"
"11-01-2021","88,08","18,85"
"09-01-2021","87,42","19,46"
"08-01-2021","88,52","18,53"
"07-01-2021","88,74","18,44"
"05-01-2021","87,47","19,42"
"02-01-2021","88,75","18,74"
